query_id,query_name,original_sql_file,status,priority,business_rule_location,pipeline_usage,sdk_usage,test_coverage,notes,estimated_effort_days,actual_effort_days,assigned_to,completed_date,validation_status
CLAIMS_GOLD_001,Claims Aggregation by Policy,legacy_queries/claims_gold.sql,Complete,High,src/business_rules/aggregations.py::ClaimsAggregator.aggregate_by_policy,src/pipelines/claims_pipeline.py::ClaimsGoldStep,src/sdk/analyst.py::ClaimsAnalyst,Yes,Claims by policy aggregation - matches SQL exactly,2,1.5,data_eng,2024-12-15,Validated
POLICIES_GOLD_001,Policies Aggregation by Employer,legacy_queries/policies_gold.sql,Complete,High,src/business_rules/aggregations.py::PoliciesAggregator.aggregate_by_employer,src/pipelines/policies_pipeline.py::PoliciesGoldStep,src/sdk/analyst.py::PoliciesAnalyst,Yes,Policies by employer aggregation - matches SQL exactly,2,1.5,data_eng,2024-12-15,Validated
CLAIMS_SILVER_001,Claims Business Rules Application,legacy_queries/claims_silver.sql,Complete,High,src/domain/claims.py::ClaimsProcessor,src/pipelines/claims_pipeline.py::ClaimsSilverStep,src/sdk/analyst.py::ClaimsAnalyst,Yes,Claims validation and business rules,3,2.5,data_eng,2024-12-16,Validated
POLICIES_SILVER_001,Policies Business Rules Application,legacy_queries/policies_silver.sql,Complete,High,src/domain/policies.py::PoliciesProcessor,src/pipelines/policies_pipeline.py::PoliciesSilverStep,src/sdk/analyst.py::PoliciesAnalyst,Yes,Policies validation and business rules,3,2.5,data_eng,2024-12-16,Validated
CLAIMS_BRONZE_001,Claims Data Ingestion,legacy_queries/claims_bronze.sql,Complete,Medium,src/transforms/bronze.py::BronzeStep,src/pipelines/claims_pipeline.py::ClaimsBronzeStep,N/A,Yes,Claims data loading and basic cleaning,1,0.5,data_eng,2024-12-14,Validated
POLICIES_BRONZE_001,Policies Data Ingestion,legacy_queries/policies_bronze.sql,Complete,Medium,src/transforms/bronze.py::BronzeStep,src/pipelines/policies_pipeline.py::PoliciesBronzeStep,N/A,Yes,Policies data loading and basic cleaning,1,0.5,data_eng,2024-12-14,Validated
CLAIMS_MEMBER_001,Claims Aggregation by Member,legacy_queries/claims_by_member.sql,Pending,Medium,src/business_rules/aggregations.py::ClaimsAggregator.aggregate_by_member,Not yet implemented,src/sdk/analyst.py::ClaimsAnalyst,Partial,Member-level claims aggregation,2,,,,
CLAIMS_STATUS_001,Claims Filtering by Status,legacy_queries/claims_by_status.sql,Pending,Low,src/domain/claims.py::ClaimsProcessor,Not yet implemented,src/sdk/analyst.py::ClaimsAnalyst,No,Filter claims by status (paid/pending/approved),1,,,,
POLICIES_EXPIRATION_001,Active Policies Query,legacy_queries/active_policies.sql,Pending,Medium,src/domain/policies.py::PoliciesProcessor,Not yet implemented,src/sdk/analyst.py::PoliciesAnalyst,No,Get active policies (not expired),1,,,,
CLAIMS_HIGH_VALUE_001,High Value Claims Query,legacy_queries/high_value_claims.sql,Pending,Medium,src/domain/claims.py::ClaimsProcessor,Not yet implemented,src/sdk/analyst.py::ClaimsAnalyst,No,Claims above threshold amount,1,,,,
POLICIES_COVERAGE_001,Total Coverage by Employer,legacy_queries/total_coverage.sql,Pending,High,src/business_rules/aggregations.py::PoliciesAggregator,Not yet implemented,src/sdk/analyst.py::PoliciesAnalyst,No,Sum of stop loss limits by employer,2,,,,
CLAIMS_POLICY_SUMMARY_001,Claims Summary by Policy,legacy_queries/claims_policy_summary.sql,Pending,High,src/business_rules/aggregations.py::ClaimsAggregator,Not yet implemented,src/sdk/analyst.py::ClaimsAnalyst,No,Detailed summary statistics per policy,2,,,,
POLICIES_EFFECTIVE_001,Policies by Effective Date Range,legacy_queries/policies_by_date.sql,Pending,Low,src/domain/policies.py::PoliciesProcessor,Not yet implemented,src/sdk/analyst.py::PoliciesAnalyst,No,Filter policies by date range,1,,,,
CLAIMS_DATE_RANGE_001,Claims by Date Range,legacy_queries/claims_by_date.sql,Pending,Low,src/domain/claims.py::ClaimsProcessor,Not yet implemented,src/sdk/analyst.py::ClaimsAnalyst,No,Filter claims by incurred date range,1,,,,
POLICIES_DEDUCTIBLE_001,Deductible Analysis,legacy_queries/deductible_analysis.sql,Pending,Medium,src/business_rules/aggregations.py::PoliciesAggregator,Not yet implemented,src/sdk/analyst.py::PoliciesAnalyst,No,Aggregate and analyze deductibles,2,,,,
CLAIMS_TYPE_001,Claims by Type,legacy_queries/claims_by_type.sql,Pending,Low,src/domain/claims.py::ClaimsProcessor,Not yet implemented,src/sdk/analyst.py::ClaimsAnalyst,No,Group claims by type (medical/pharmacy/etc),1,,,,
POLICIES_LINE_OF_BUSINESS_001,Policies by Line of Business,legacy_queries/policies_by_lob.sql,Pending,Medium,src/domain/policies.py::PoliciesProcessor,Not yet implemented,src/sdk/analyst.py::PoliciesAnalyst,No,Filter and group by line of business,1,,,,
CLAIMS_APPROVAL_001,Claims Requiring Approval,legacy_queries/claims_approval.sql,Pending,High,src/domain/claims.py::ClaimsProcessor,Not yet implemented,src/sdk/analyst.py::ClaimsAnalyst,No,Claims above approval threshold,1,,,,
POLICIES_RENEWAL_001,Upcoming Policy Renewals,legacy_queries/policy_renewals.sql,Pending,Medium,src/domain/policies.py::PoliciesProcessor,Not yet implemented,src/sdk/analyst.py::PoliciesAnalyst,No,Policies expiring in next N days,1,,,,

